,Player,Team Name,Position,Season
0,Ben Simmons,Philadelphia Sixers,PF,2017-2018
1,Nikola Jokic,Denver Nuggets,C,2017-2018
2,Victor Oladipo,Indiana Pacers,G,2017-2018
3,Damian Lillard,Portland Trail Blazers,G,2017-2018
4,LeBron James,Cleveland Cavaliers,F,2017-2018
5,LaMarcus Aldridge,San Antonio Spurs,FC,2017-2018
6,LeBron James,Cleveland Cavaliers,F,2017-2018
7,Russell Westbrook,Oklahoma City Thunder,G,2017-2018
8,DeMar DeRozan,Toronto Raptors,GF,2017-2018
9,Damian Lillard,Portland Trail Blazers,G,2017-2018
10,DeMar DeRozan,Toronto Raptors,GF,2017-2018
11,Anthony Davis,New Orleans Pelicans,PF,2017-2018
12,Joel Embiid,Philadelphia Sixers,C,2017-2018
13,James Harden,Houston Rockets,SG,2017-2018
14,Andre Drummond,Detroit Pistons,C,2017-2018
15,James Harden,Houston Rockets,SG,2017-2018
16,Khris Middleton,Milwaukee Bucks,SF,2017-2018
17,Stephen Curry,Golden State Warriors,G,2017-2018
18,Joel Embiid,Philadelphia Sixers,C,2017-2018
19,Damian Lillard,Portland Trail Blazers,G,2017-2018
20,Goran Dragic,Miami Heat,G,2017-2018
21,Lou Williams,Los Angeles Clippers,G,2017-2018
22,DeMar DeRozan,Toronto Raptors,GF,2017-2018
23,Stephen Curry,Golden State Warriors,G,2017-2018
24,Bradley Beal,Washington Wizards,SG,2017-2018
25,Lou Williams,Los Angeles Clippers,G,2017-2018
26,DeMar DeRozan,Toronto Raptors,GF,2017-2018
27,Russell Westbrook,Oklahoma City Thunder,G,2017-2018
28,LeBron James,Cleveland Cavaliers,F,2017-2018
29,Chris Paul,Houston Rockets,PG,2017-2018
30,Victor Oladipo,Indiana Pacers,G,2017-2018
31,Kevin Durant,Golden State Warriors,SF,2017-2018
32,LeBron James,Cleveland Cavaliers,F,2017-2018
33,James Harden,Houston Rockets,SG,2017-2018
34,Goran Dragic,Miami Heat,G,2017-2018
35,Anthony Davis,New Orleans Pelicans,PF,2017-2018
36,DeMar DeRozan,Toronto Raptors,GF,2017-2018
37,Karl-Anthony Towns,Minnesota Timberwolves,C,2017-2018
38,Tobias Harris,Detroit Pistons,F,2017-2018
39,Nikola Jokic,Denver Nuggets,C,2017-2018
40,Kristaps Porzingis,New York Knicks,FC,2017-2018
41,James Harden,Houston Rockets,SG,2017-2018
42,Victor Oladipo,Indiana Pacers,G,2017-2018
43,DeMarcus Cousins,New Orleans Pelicans,C,2017-2018
44,Giannis Antetokounmpo,Milwaukee Bucks,F,2017-2018
45,James Harden,Houston Rockets,SG,2017-2018
